run_accession	fastq_ftp	fastq_bytes	fastq_md5	bam_ftp	bam_bytes	bam_md5	submitted_ftp	submitted_bytes	submitted_md5	sra_ftp	sra_bytes	sra_md5
SRR7450758	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/008/SRR7450758/SRR7450758_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/008/SRR7450758/SRR7450758_2.fastq.gz	992036;1203059	499b1e71ac4ecd441fea26227fa13fc0;734c45191d19b581c2794f8b83664216									
SRR10245282	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/082/SRR10245282/SRR10245282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/082/SRR10245282/SRR10245282_2.fastq.gz	49924442;63260453	5536544c15074e9a272a6e35cf8e77d0;5a31d3cbabc09cdf704cdf533b363a93									
SRR7450760	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/000/SRR7450760/SRR7450760_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/000/SRR7450760/SRR7450760_2.fastq.gz	4879564;6017486	d69e2ce48a2461d28cb551eb2435c140;21d095a1d1e994508fbcd47abe2e88b6									
SRR10245284	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/084/SRR10245284/SRR10245284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/084/SRR10245284/SRR10245284_2.fastq.gz	31361102;40270591	c8ba92950223d7ee10bae904d99cf249;42bfbc534882da729c2a823db9312b22									
SRR10245286	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/086/SRR10245286/SRR10245286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/086/SRR10245286/SRR10245286_2.fastq.gz	61152727;75454679	e4414f3c1ac6783ca1ac1cdafcbb55fc;59490bc5237cfe47c6c86abd4b8f30f2									
SRR10245291	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/091/SRR10245291/SRR10245291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/091/SRR10245291/SRR10245291_2.fastq.gz	28995547;53649360	11caeae387d88114f3adb2250bb81d28;3de01e70e68244328cc6a9b0019d8549									
SRR10245294	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/094/SRR10245294/SRR10245294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/094/SRR10245294/SRR10245294_2.fastq.gz	68523341;96265553	067410cb39921da96bd0cc3b9db5430c;fea9242a6668496187844ec741546afa									
SRR10245296	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/096/SRR10245296/SRR10245296_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/096/SRR10245296/SRR10245296_2.fastq.gz	39282568;69484003	30b4a10ae98dc457e0abcf21a3dcd710;1d5d39bec894fd2c5ba6335ce6e07dfa									
SRR10245299	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/099/SRR10245299/SRR10245299_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/099/SRR10245299/SRR10245299_2.fastq.gz	24979931;31690593	e28db1dd50a3d4db0bbfc2d943c7bdc0;6825fc725297580472fbe5a6b8c279ca									
SRR10245300	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/000/SRR10245300/SRR10245300_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/000/SRR10245300/SRR10245300_2.fastq.gz	21241652;30747028	e24a7546105fa755b4ea95d40bb2e88b;c130fdc3c57e99c6a4c9cfe42668d078									
SRR10245302	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/002/SRR10245302/SRR10245302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/002/SRR10245302/SRR10245302_2.fastq.gz	20256520;32004727	199a812f11825b54282e5a65b4e1a647;b2543dd6c6667e137998ce8fa837c2ce									
SRR10245303	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/003/SRR10245303/SRR10245303_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/003/SRR10245303/SRR10245303_2.fastq.gz	102960522;118957625	0b0c4feff0db68ae9e54da1b2ec7ebd9;8194be8f396a189b8f286f64f63f93ea									
SRR10245305	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/005/SRR10245305/SRR10245305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/005/SRR10245305/SRR10245305_2.fastq.gz	34724725;52760597	93223cc2b24129d44d9725b4f1a17730;e6813ab47feed0bf54ec3f96a12df11b									
SRR10245306	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/006/SRR10245306/SRR10245306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/006/SRR10245306/SRR10245306_2.fastq.gz	53327087;68682458	e0416ccae22ca07fdbf39eac136c7e11;741dedfbaeb82f00652967801740e75d									
SRR10245307	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/007/SRR10245307/SRR10245307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/007/SRR10245307/SRR10245307_2.fastq.gz	44069309;52633213	b97db097add33d01fc9c2f4a0f4bb2f2;2e4136c16f59fa499c13cd1149c4c8fc									
SRR10245311	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/011/SRR10245311/SRR10245311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/011/SRR10245311/SRR10245311_2.fastq.gz	43989450;68719899	9c9e0d0ca76cb745eee63916c128d876;ac34bbddfb05c1e8ca692a1b196b47b7									
SRR10245312	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/012/SRR10245312/SRR10245312_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/012/SRR10245312/SRR10245312_2.fastq.gz	27633567;36343729	c594ef4ca5bd66994ac780399f983feb;3727d8b73dc618ffef6c2dcc07e62427									
SRR10245313	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/013/SRR10245313/SRR10245313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/013/SRR10245313/SRR10245313_2.fastq.gz	33499169;42021199	a27cf097768cd4e915cb0139a79bd06d;d3f5471cdadc5126be9fc6c5a13ccb20									
SRR10245314	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/014/SRR10245314/SRR10245314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/014/SRR10245314/SRR10245314_2.fastq.gz	11231165;13618055	6671572d1eebd5506088d8021516d597;27886c6000254edc96bd03d374bf10ee									
SRR10245316	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/016/SRR10245316/SRR10245316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/016/SRR10245316/SRR10245316_2.fastq.gz	40111607;50571695	b4969d9503e849fcf9e9fb81ce9467bb;ef5dca7259399e2632dd36dce1bbca6e									
SRR10245317	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/017/SRR10245317/SRR10245317_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/017/SRR10245317/SRR10245317_2.fastq.gz	46992585;58080058	e64258c806565d1b8b25eb321c69dad3;85d0c670f36bbd48af643815e0eb098f									
SRR10245325	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/025/SRR10245325/SRR10245325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/025/SRR10245325/SRR10245325_2.fastq.gz	53473479;64666668	d942b09ad699251b4ca843f44fbc2c2e;fc5abb1326801951996d7ec0c7f659af									
SRR10245326	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/026/SRR10245326/SRR10245326_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/026/SRR10245326/SRR10245326_2.fastq.gz	50549837;65279792	97bbc298767a48a5eafe4d67f369cc6b;2f6d482806723ddd79cccd3097388437									
SRR10245328	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/028/SRR10245328/SRR10245328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/028/SRR10245328/SRR10245328_2.fastq.gz	9465202;11650371	89a12b6278815d5118cb29d94f5869b0;2dc43b54fc41d3bec2d12d4e0529de3a									
SRR10245331	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/031/SRR10245331/SRR10245331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/031/SRR10245331/SRR10245331_2.fastq.gz	28341756;49798973	e1b1e408b6b836f523f3791250a5e5a0;ebb43be42c5347ddd16d267025b818aa									
SRR10245334	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/034/SRR10245334/SRR10245334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/034/SRR10245334/SRR10245334_2.fastq.gz	23486029;33808254	c8eb8674f87aee5ea2c81c2aca5a8fa4;5a94ccc1477253dce030bbbf3306049c									
SRR10245335	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/035/SRR10245335/SRR10245335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/035/SRR10245335/SRR10245335_2.fastq.gz	24846227;35508592	783bac133f27e907dfa27ee40d2332ad;e1707d0c5b3a0e041257cfa409d7ede1									
SRR10245337	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/037/SRR10245337/SRR10245337_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/037/SRR10245337/SRR10245337_2.fastq.gz	26595771;34856139	0240d29beaa3be57669565d5205bb2d1;5fa71bbe7b579a1d2b42aa0ceb398b94									
SRR10245342	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/042/SRR10245342/SRR10245342_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/042/SRR10245342/SRR10245342_2.fastq.gz	23125138;40858631	4de6fea5f30b74e8fc3658be5433f7e4;94c3f23975d639e6c4a76a30cbb7ec58									
SRR10245344	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/044/SRR10245344/SRR10245344_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/044/SRR10245344/SRR10245344_2.fastq.gz	38430888;47481724	c4c1b6a68fee83e7b73a8c3598f7f4f6;4e49065aa7d3ec4f951679d641bb4d11									
SRR10245348	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/048/SRR10245348/SRR10245348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/048/SRR10245348/SRR10245348_2.fastq.gz	36119006;47940139	b777e722cf33a80c70dbf24477bf29f3;e2f267868dc98aaf8afe76068e2c44f1									
SRR10245349	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/049/SRR10245349/SRR10245349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/049/SRR10245349/SRR10245349_2.fastq.gz	43547322;56038263	2bd8048f2dc1029c845214cacdea66c5;61c8efa14d3a1f0dd2bff142bce5d05a									
SRR10245350	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/050/SRR10245350/SRR10245350_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/050/SRR10245350/SRR10245350_2.fastq.gz	60203825;77997293	0d00edde3dae9027576197f515289062;05e366f13d435c921aae21720854f71f									
SRR10245351	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/051/SRR10245351/SRR10245351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/051/SRR10245351/SRR10245351_2.fastq.gz	35734570;47597973	9d63043607e9a019ea9b0fe4b8d63045;d8b4361f0370b4e7df2eb4a1eaae2139									
SRR10245352	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/052/SRR10245352/SRR10245352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/052/SRR10245352/SRR10245352_2.fastq.gz	55770045;90724481	3ab9da2e12897a85ffbd75b0691d3f89;090df075625db4df3a125d3c82644ba3									
SRR10245353	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/053/SRR10245353/SRR10245353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/053/SRR10245353/SRR10245353_2.fastq.gz	50403569;60176244	64c0088083aee67215465d4b1a1e7dd7;dec29ac1e75383e736efac2f510a5d52									
SRR7450706	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/006/SRR7450706/SRR7450706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/006/SRR7450706/SRR7450706_2.fastq.gz	27521493;27555265	1ea76921554011408bff4f78a4b52bc4;dde53a5e9b6d6cc084dc89eb99bed837									
SRR7450709	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/009/SRR7450709/SRR7450709_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/009/SRR7450709/SRR7450709_2.fastq.gz	15224924;15488918	5110022468328d4af62d84bda6efbf18;6f4b7a4618f8c6e675eb3cfcef76198e									
SRR7450711	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/001/SRR7450711/SRR7450711_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/001/SRR7450711/SRR7450711_2.fastq.gz	14225335;14539432	d15a1b571e6a31629ff2507b569dd01a;7d282ccb0f9478fdf4c3028217790882									
SRR7450715	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/005/SRR7450715/SRR7450715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/005/SRR7450715/SRR7450715_2.fastq.gz	15946325;15923334	9ac14c56a1937e2b90b2aeeb797f526c;b61e502a5495991bdbbaf9c8f160d380									
SRR7450717	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/007/SRR7450717/SRR7450717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/007/SRR7450717/SRR7450717_2.fastq.gz	11897043;12057237	f9007d861eccac05e88cecaeee3b08f6;a39047d3dc90a190bc51c990ef6791ce									
SRR7450718	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/008/SRR7450718/SRR7450718_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/008/SRR7450718/SRR7450718_2.fastq.gz	38642517;40069057	22fe2d886cd8a16768a9900ef5a5800b;6858c4935c3a5c27480ed440486d751e									
SRR7450719	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/009/SRR7450719/SRR7450719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/009/SRR7450719/SRR7450719_2.fastq.gz	16635912;17389514	943e153b4b154598bbee6392a55a9baa;8f611ac8731c916186e6cc18c6826148									
SRR7450722	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/002/SRR7450722/SRR7450722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/002/SRR7450722/SRR7450722_2.fastq.gz	9239181;9818154	714e77fd6b59167b01be66160efe45cf;b4eb66ddd6b6df58ee4fd2f130d8367d									
SRR7450723	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/003/SRR7450723/SRR7450723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/003/SRR7450723/SRR7450723_2.fastq.gz	20246327;21214558	66628c2a52813d5c2faa590e3d6d2090;41962f3a7f10ee7e6f88dbbef6575d9a									
SRR7450725	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/005/SRR7450725/SRR7450725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/005/SRR7450725/SRR7450725_2.fastq.gz	15430385;16119389	e2ee972d30fa10646ff307060c1d25ca;359ae08fcc4edf4c17a2a8cc79e2a6ce									
SRR7450726	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/006/SRR7450726/SRR7450726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/006/SRR7450726/SRR7450726_2.fastq.gz	13686910;14609789	18d58835690daced0c9fae196329bdce;297753c18a7cccd55c09dd77addc97dc									
SRR7450727	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/007/SRR7450727/SRR7450727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/007/SRR7450727/SRR7450727_2.fastq.gz	13294234;16935090	fe75850f00523cb519f9a3070209989a;8dc727f8b1be6809645ae8a4f884ea16									
SRR7450736	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/006/SRR7450736/SRR7450736_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/006/SRR7450736/SRR7450736_2.fastq.gz	16725208;17359708	a16ec47053fad82399ea1ca85b7a5c6a;137f4f44a2a2984ed202844b406199fb									
SRR7450739	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/009/SRR7450739/SRR7450739_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/009/SRR7450739/SRR7450739_2.fastq.gz	4799670;6260163	0f28af3a75305c08acff1a78b3126d01;c147e7cf44739af8990ce1a2f2c0d36b									
SRR7450740	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/000/SRR7450740/SRR7450740_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/000/SRR7450740/SRR7450740_2.fastq.gz	35409264;44797610	70a6c3c6c50a12cdd1eaf69c5f9c269e;072477dd7c60f99685fa3cca7a442f41									
SRR7450741	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/001/SRR7450741/SRR7450741_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/001/SRR7450741/SRR7450741_2.fastq.gz	5396080;6422503	e95bcfab6be9303a9e0503c355d897b6;c8c8b005f7f953ba2bbdb9dd2d535598									
SRR7450745	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/005/SRR7450745/SRR7450745_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/005/SRR7450745/SRR7450745_2.fastq.gz	6810999;8512781	bc0ede87b94a20561fd003e93756f31c;e5c126e939d741d07c54614a90f42ea2									
SRR7450747	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/007/SRR7450747/SRR7450747_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/007/SRR7450747/SRR7450747_2.fastq.gz	2943285;3694204	5980a3240911e7753dea57915f444aeb;b2b708d9a237453ee4974fb33d41420e									
SRR7450751	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/001/SRR7450751/SRR7450751_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/001/SRR7450751/SRR7450751_2.fastq.gz	16250400;16035738	32219bb98aa791f2933ddb05e14c76a1;2ec27bbc19c01ed9a8a215572cb69da9									
SRR7450754	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/004/SRR7450754/SRR7450754_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/004/SRR7450754/SRR7450754_2.fastq.gz	5699563;6754443	1bebbb2c18328f06892e72be7d3fa0d5;9298b28cfb6017a2c0c9c8b6235c03c5									
