run_accession	fastq_ftp	fastq_bytes	fastq_md5	bam_ftp	bam_bytes	bam_md5	submitted_ftp	submitted_bytes	submitted_md5	sra_ftp	sra_bytes	sra_md5
SRR7450708	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/008/SRR7450708/SRR7450708_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/008/SRR7450708/SRR7450708_2.fastq.gz	17432150;17950096	1ce6fcc7dad74799a42f992f4cce5e64;4a5fa26726ca642226e4fc1f8942d31a									
SRR7450710	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/000/SRR7450710/SRR7450710_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/000/SRR7450710/SRR7450710_2.fastq.gz	11171796;11998572	7925fda3092cd6412344b3e6251fd9be;6f1b72a94fd52aa5364c26c61927d816									
SRR7450714	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/004/SRR7450714/SRR7450714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/004/SRR7450714/SRR7450714_2.fastq.gz	15223948;16163488	95ace77bf9d82dea112cbfe1412f95a0;d297bb0a8cddb8beca617c19b1f1ea06									
SRR7450716	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/006/SRR7450716/SRR7450716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/006/SRR7450716/SRR7450716_2.fastq.gz	17991716;19094044	b41071ca15618024751f485ec7c2e776;5dcd22a6ec8a8d8aaf2793c5001d9ac8									
SRR7450720	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/000/SRR7450720/SRR7450720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/000/SRR7450720/SRR7450720_2.fastq.gz	12960212;12926445	d49cf83c833981e2f30b8981062be3e4;cef819d0cab0b264f081ff049a44039f									
SRR7450729	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/009/SRR7450729/SRR7450729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/009/SRR7450729/SRR7450729_2.fastq.gz	4802119;5783885	1ae25399f6d7355609144735717b04f6;78322c0164b68bfee4d3644644d121b0									
SRR7450733	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/003/SRR7450733/SRR7450733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/003/SRR7450733/SRR7450733_2.fastq.gz	4816471;6086716	3764a2237856d85bc2dc7b744f9d72fc;87031c0363eae4dd171e6eac91c9d85d									
SRR7450734	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/004/SRR7450734/SRR7450734_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/004/SRR7450734/SRR7450734_2.fastq.gz	5477193;7263857	7c088a94be6a83f1164ae12923ab4bbf;3a674b7efaf1dc6e4c752d6c5475897d									
SRR7450735	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/005/SRR7450735/SRR7450735_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/005/SRR7450735/SRR7450735_2.fastq.gz	19486524;19367548	0d4249efa22763d300de9e7621137663;af32923435dd18f6812d902253d69dfa									
SRR7450738	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/008/SRR7450738/SRR7450738_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/008/SRR7450738/SRR7450738_2.fastq.gz	5215443;6659014	18182ed53e633d88a6cf61661af9d2c4;58a86b188f4db98c3448d4b66e0ede65									
